Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70410551,-73.93390408,11
Street/Sidewalk,10003,NEW YORK,MANHATTAN,40.72473421,-73.98739077,23
Club/Bar/Restaurant,11216,BROOKLYN,BROOKLYN,40.67386906,-73.95013149,86
Store/Commercial,11230,BROOKLYN,BROOKLYN,40.62359289,-73.97579959,14
Residential Building/House,10461,BRONX,BRONX,40.84589889,-73.83154171,10
House of Worship,10002,NEW YORK,MANHATTAN,40.71881923,-73.98712494,78
Park/Playground,10304,STATEN ISLAND,STATEN ISLAND,40.62666393,-74.07564508,19
Store/Commercial,10031,NEW YORK,MANHATTAN,40.82732499,-73.94980691,27
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72821933,-73.98196732,11
Club/Bar/Restaurant,10302,STATEN ISLAND,STATEN ISLAND,40.63575526,-74.13495687,69
Store/Commercial,11237,BROOKLYN,BROOKLYN,40.70277711,-73.92938633,198
Residential Building/House,10040,NEW YORK,MANHATTAN,40.86323823,-73.92692385,24
House of Worship,10453,BRONX,BRONX,40.84861945,-73.91801929,12
Park/Playground,10021,NEW YORK,MANHATTAN,40.77075354,-73.95694015,57
Store/Commercial,10026,NEW YORK,MANHATTAN,40.80150481,-73.9484719,16
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.7219211,-73.99003931,45
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.73021752,-73.98200647,12
Store/Commercial,10011,NEW YORK,MANHATTAN,40.73954279,-73.99607024,15
Residential Building/House,11206,BROOKLYN,BROOKLYN,40.69750288,-73.93616458,35
House of Worship,10012,NEW YORK,MANHATTAN,40.72971389,-74.00074326,125
Park/Playground,10036,NEW YORK,MANHATTAN,40.76058323,-73.98592204,319
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.70773915,-73.95593125,22
Street/Sidewalk,11209,BROOKLYN,BROOKLYN,40.62637478,-74.02987171,45
Club/Bar/Restaurant,11209,BROOKLYN,BROOKLYN,40.62559384,-74.02421915,20
Store/Commercial,11215,BROOKLYN,BROOKLYN,40.67115877,-73.98463595,33
Residential Building/House,10023,NEW YORK,MANHATTAN,40.77811034,-73.98042649,11
House of Worship,10009,NEW YORK,MANHATTAN,40.72986873,-73.98074374,17
Park/Playground,10002,NEW YORK,MANHATTAN,40.71990073,-73.98774162,14
Store/Commercial,10065,NEW YORK,MANHATTAN,40.76148861,-73.96060645,10
Street/Sidewalk,11238,BROOKLYN,BROOKLYN,40.67376199,-73.95686217,34
Club/Bar/Restaurant,10034,NEW YORK,MANHATTAN,40.86573352,-73.92748873,63
Store/Commercial,10023,NEW YORK,MANHATTAN,40.77741014,-73.9787983,11
Residential Building/House,10002,NEW YORK,MANHATTAN,40.7212238,-73.98863606,29
House of Worship,10019,NEW YORK,MANHATTAN,40.76103624,-73.9870157,43
Park/Playground,10032,NEW YORK,MANHATTAN,40.84276852,-73.93670827,29
Store/Commercial,10014,NEW YORK,MANHATTAN,40.73039457,-74.00227671,13
Street/Sidewalk,10309,STATEN ISLAND,STATEN ISLAND,40.52320824,-74.23487515,56
Club/Bar/Restaurant,11222,BROOKLYN,BROOKLYN,40.72136094,-73.94246586,18
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72981901,-73.97892168,25
Residential Building/House,10016,NEW YORK,MANHATTAN,40.74521022,-73.97246049,22
House of Worship,10033,NEW YORK,MANHATTAN,40.84420068,-73.93565154,10
Park/Playground,11209,BROOKLYN,BROOKLYN,40.63331431,-74.02702136,55
Store/Commercial,11377,WOODSIDE,QUEENS,40.74276218,-73.8960278,43
